Filename; VoxelX; VoxelY; VoxelZ; BinContent
sep_sim_193_x-82_y112_z526.root; 42; 60; 52; 271
sep_sim_193_x-82_y112_z526.root; 42; 60; 53; 290
sep_sim_193_x-82_y112_z526.root; 42; 60; 54; 269
sep_sim_193_x-82_y112_z526.root; 42; 60; 55; 290
sep_sim_193_x-82_y112_z526.root; 42; 61; 49; 218
sep_sim_193_x-82_y112_z526.root; 42; 61; 50; 303
sep_sim_193_x-82_y112_z526.root; 42; 61; 51; 295
sep_sim_193_x-82_y112_z526.root; 42; 61; 52; 262
sep_sim_193_x-82_y112_z526.root; 42; 61; 53; 292
sep_sim_193_x-82_y112_z526.root; 42; 61; 54; 285
sep_sim_193_x-82_y112_z526.root; 42; 61; 55; 307
sep_sim_193_x-82_y112_z526.root; 42; 62; 49; 225
sep_sim_193_x-82_y112_z526.root; 42; 62; 50; 283
sep_sim_193_x-82_y112_z526.root; 42; 62; 51; 296
sep_sim_193_x-82_y112_z526.root; 42; 62; 52; 324
sep_sim_193_x-82_y112_z526.root; 42; 62; 53; 306
sep_sim_193_x-82_y112_z526.root; 42; 62; 54; 273
sep_sim_193_x-82_y112_z526.root; 42; 62; 55; 280
sep_sim_193_x-82_y112_z526.root; 42; 63; 49; 97
sep_sim_193_x-82_y112_z526.root; 42; 63; 50; 143
sep_sim_193_x-82_y112_z526.root; 42; 63; 51; 154
sep_sim_193_x-82_y112_z526.root; 42; 63; 52; 173
sep_sim_193_x-82_y112_z526.root; 42; 63; 53; 151
sep_sim_193_x-82_y112_z526.root; 42; 63; 54; 152
sep_sim_193_x-82_y112_z526.root; 42; 63; 55; 135
sep_sim_193_x-82_y112_z526.root; 43; 58; 49; 4
sep_sim_193_x-82_y112_z526.root; 43; 58; 50; 12
sep_sim_193_x-82_y112_z526.root; 43; 58; 51; 11
sep_sim_193_x-82_y112_z526.root; 43; 58; 52; 14
sep_sim_193_x-82_y112_z526.root; 43; 58; 53; 10
sep_sim_193_x-82_y112_z526.root; 43; 58; 54; 17
sep_sim_193_x-82_y112_z526.root; 43; 58; 55; 11
sep_sim_193_x-82_y112_z526.root; 43; 59; 49; 158
sep_sim_193_x-82_y112_z526.root; 43; 59; 50; 244
sep_sim_193_x-82_y112_z526.root; 43; 59; 51; 249
sep_sim_193_x-82_y112_z526.root; 43; 59; 52; 243
sep_sim_193_x-82_y112_z526.root; 43; 59; 53; 210
sep_sim_193_x-82_y112_z526.root; 43; 59; 54; 224
sep_sim_193_x-82_y112_z526.root; 43; 59; 55; 202
sep_sim_193_x-82_y112_z526.root; 43; 60; 49; 170
sep_sim_193_x-82_y112_z526.root; 43; 60; 50; 221
sep_sim_193_x-82_y112_z526.root; 43; 60; 51; 207
sep_sim_193_x-82_y112_z526.root; 43; 60; 52; 221
sep_sim_193_x-82_y112_z526.root; 43; 60; 53; 226
sep_sim_193_x-82_y112_z526.root; 43; 60; 54; 214
sep_sim_193_x-82_y112_z526.root; 43; 60; 55; 214
sep_sim_193_x-82_y112_z526.root; 43; 61; 49; 144
sep_sim_193_x-82_y112_z526.root; 43; 61; 50; 209
sep_sim_193_x-82_y112_z526.root; 43; 61; 51; 195
sep_sim_193_x-82_y112_z526.root; 43; 61; 52; 210
sep_sim_193_x-82_y112_z526.root; 43; 61; 53; 223
sep_sim_193_x-82_y112_z526.root; 43; 61; 54; 216
sep_sim_193_x-82_y112_z526.root; 43; 61; 55; 225
sep_sim_193_x-82_y112_z526.root; 43; 62; 49; 169
sep_sim_193_x-82_y112_z526.root; 43; 62; 50; 220
sep_sim_193_x-82_y112_z526.root; 43; 62; 51; 198
sep_sim_193_x-82_y112_z526.root; 43; 62; 52; 207
sep_sim_193_x-82_y112_z526.root; 43; 62; 53; 217
sep_sim_193_x-82_y112_z526.root; 43; 62; 54; 212
sep_sim_193_x-82_y112_z526.root; 43; 62; 55; 205
sep_sim_193_x-82_y112_z526.root; 43; 63; 49; 75
sep_sim_193_x-82_y112_z526.root; 43; 63; 50; 95
sep_sim_193_x-82_y112_z526.root; 43; 63; 51; 87
sep_sim_193_x-82_y112_z526.root; 43; 63; 52; 100
sep_sim_193_x-82_y112_z526.root; 43; 63; 53; 115
sep_sim_193_x-82_y112_z526.root; 43; 63; 54; 93
sep_sim_193_x-82_y112_z526.root; 43; 63; 55; 112
sep_sim_193_x-97_y-16_z216.root; 39; 48; 20; 157
sep_sim_193_x-97_y-16_z216.root; 39; 48; 21; 694
sep_sim_193_x-97_y-16_z216.root; 39; 48; 22; 341
sep_sim_193_x-97_y-16_z216.root; 40; 48; 20; 443
sep_sim_193_x-97_y-16_z216.root; 40; 48; 21; 1836
sep_sim_193_x-97_y-16_z216.root; 40; 48; 22; 793
sep_sim_193_x-147_y115_z380.root; 34; 59; 35; 5
sep_sim_193_x-147_y115_z380.root; 34; 59; 36; 4
sep_sim_193_x-147_y115_z380.root; 34; 59; 37; 3
sep_sim_193_x-147_y115_z380.root; 34; 59; 38; 7
sep_sim_193_x-147_y115_z380.root; 34; 59; 39; 1
sep_sim_193_x-147_y115_z380.root; 34; 59; 40; 4
sep_sim_193_x-147_y115_z380.root; 34; 59; 41; 1
sep_sim_193_x-147_y115_z380.root; 34; 60; 34; 7
sep_sim_193_x-147_y115_z380.root; 34; 60; 35; 64
sep_sim_193_x-147_y115_z380.root; 34; 60; 36; 53
sep_sim_193_x-147_y115_z380.root; 34; 60; 37; 61
sep_sim_193_x-147_y115_z380.root; 34; 60; 38; 57
sep_sim_193_x-147_y115_z380.root; 34; 60; 39; 58
sep_sim_193_x-147_y115_z380.root; 34; 60; 40; 65
sep_sim_193_x-147_y115_z380.root; 34; 60; 41; 14
sep_sim_193_x-147_y115_z380.root; 34; 61; 34; 12
sep_sim_193_x-147_y115_z380.root; 34; 61; 35; 57
sep_sim_193_x-147_y115_z380.root; 34; 61; 36; 67
sep_sim_193_x-147_y115_z380.root; 34; 61; 37; 62
sep_sim_193_x-147_y115_z380.root; 34; 61; 38; 62
sep_sim_193_x-147_y115_z380.root; 34; 61; 39; 51
sep_sim_193_x-147_y115_z380.root; 34; 61; 40; 42
